time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity,activity_labeled
97750,34.5,1.5,9.0,4.53,23.5,2.18,bending1,0
98000,36.0,0.0,17.5,0.87,20.0,1.22,bending1,0
98250,35.0,1.41,12.67,1.25,21.25,1.09,bending1,0
100500,36.0,0.0,19.0,0.71,24.5,0.5,bending1,0
108250,36.33,0.47,21.0,0.0,24.0,0.0,bending1,0
108500,34.67,1.25,20.25,0.43,24.0,0.0,bending1,0
108750,34.67,1.25,18.33,0.47,22.33,1.25,bending1,0
109000,36.75,0.83,15.75,1.48,22.75,1.09,bending1,0
111000,34.5,1.5,12.33,2.05,24.0,0.0,bending1,0
111250,36.5,0.87,18.5,0.5,24.25,0.43,bending1,0
111500,36.33,0.47,18.33,0.47,24.75,0.83,bending1,0
111750,35.25,1.3,10.0,5.15,24.5,0.87,bending1,0
118250,36.33,0.47,12.0,0.0,24.25,0.43,bending1,0
118500,37.25,0.83,9.67,1.25,23.75,0.43,bending1,0
118750,39.0,0.0,11.5,4.72,23.75,0.43,bending1,0
23000,34.5,1.5,15.0,1.41,24.5,0.87,bending1,0
23250,36.0,0.0,16.0,1.22,24.0,0.0,bending1,0
23500,34.5,1.5,15.5,0.5,24.0,0.0,bending1,0
25500,35.75,0.43,14.75,3.11,24.5,0.5,bending1,0
25750,36.33,0.47,18.5,0.5,24.0,0.0,bending1,0
26000,36.25,0.43,18.25,0.83,24.0,0.0,bending1,0
26250,34.5,1.5,13.0,2.24,25.0,1.0,bending1,0
31000,34.0,1.41,3.67,1.25,23.67,0.47,bending1,0
31250,35.0,1.41,11.0,1.63,24.0,0.0,bending1,0
31500,36.25,0.43,15.75,1.3,24.25,0.43,bending1,0
31750,36.0,0.0,17.33,0.47,25.0,0.71,bending1,0
3000,45.0,0.0,17.75,0.43,25.0,1.22,bending1,0
4500,45.0,0.0,15.5,0.5,23.5,0.5,bending1,0
4750,45.0,0.0,16.5,0.5,24.5,0.87,bending1,0
5000,44.5,0.5,16.0,1.22,21.75,0.43,bending1,0
5250,45.0,0.0,18.75,0.83,21.5,0.5,bending1,0
5500,44.5,0.5,20.75,0.43,21.25,0.43,bending1,0
5750,44.5,0.5,18.5,0.87,21.0,0.0,bending1,0
6000,44.5,0.5,20.75,0.43,21.5,0.87,bending1,0
6250,44.5,0.5,21.0,0.0,23.25,0.43,bending1,0
6500,45.0,0.0,20.75,0.43,23.25,0.83,bending1,0
6750,45.0,0.0,22.0,0.71,24.0,0.0,bending1,0
7250,45.0,0.0,19.5,3.35,23.5,3.04,bending1,0
7750,45.0,0.0,19.0,0.71,24.0,0.0,bending1,0
8000,45.0,0.0,19.0,2.12,23.67,0.47,bending1,0
8250,45.0,0.0,21.75,0.43,24.33,0.47,bending1,0
8500,45.0,0.0,19.0,2.0,24.5,0.5,bending1,0
10250,45.0,0.0,20.0,0.82,21.33,0.47,bending1,0
10500,45.0,0.0,20.67,0.47,22.0,1.0,bending1,0
10750,45.0,0.0,20.0,0.71,23.5,0.87,bending1,0
11000,45.0,0.0,18.33,0.47,25.0,0.82,bending1,0
11250,45.0,0.0,19.2,0.4,25.0,1.1,bending1,0
11500,45.0,0.0,19.67,0.94,23.33,0.47,bending1,0
11750,45.0,0.0,21.0,0.0,23.75,0.43,bending1,0
12000,45.0,0.0,19.5,1.12,24.33,0.47,bending1,0
12250,45.0,0.0,14.33,1.25,24.5,0.5,bending1,0
12500,45.0,0.0,13.0,0.71,22.0,1.22,bending1,0
12750,45.0,0.0,15.25,0.83,19.5,0.87,bending1,0
13000,45.0,0.0,17.75,0.43,22.0,0.71,bending1,0
13250,45.0,0.0,17.75,0.43,23.5,0.87,bending1,0
13500,45.0,0.0,18.25,0.43,22.75,0.43,bending1,0
13750,45.0,0.0,19.5,0.5,21.0,2.24,bending1,0
14000,45.0,0.0,20.5,0.5,23.75,0.43,bending1,0
14250,45.0,0.0,20.0,0.0,24.0,0.0,bending1,0
14500,45.0,0.0,19.25,1.3,23.75,0.43,bending1,0
14750,45.0,0.0,20.0,1.0,23.67,0.47,bending1,0
15000,45.0,0.0,20.75,0.43,24.0,0.0,bending1,0
15250,45.0,0.0,20.0,1.22,23.75,0.43,bending1,0
15500,45.0,0.0,16.0,2.16,22.75,1.3,bending1,0
15750,45.0,0.0,14.5,0.5,21.25,0.43,bending1,0
16000,45.25,0.43,16.0,2.12,22.0,1.22,bending1,0
16250,45.25,0.43,17.5,1.66,23.75,0.43,bending1,0
16500,45.0,0.0,15.0,0.71,23.5,1.5,bending1,0
16750,45.25,0.43,15.0,0.71,23.75,0.43,bending1,0
17000,45.0,0.0,13.33,1.89,23.67,0.47,bending1,0
17500,45.0,0.0,15.0,0.71,24.25,0.43,bending1,0
17750,45.0,0.0,17.25,2.86,24.0,1.63,bending1,0
18250,45.0,0.0,20.25,1.3,24.75,0.83,bending1,0
18500,45.0,0.0,20.33,0.47,23.0,0.71,bending1,0
18750,45.0,0.0,20.5,0.5,24.0,2.12,bending1,0
19250,45.0,0.0,17.5,1.8,24.0,1.87,bending1,0
19500,45.0,0.0,20.25,0.83,21.75,0.83,bending1,0
19750,45.0,0.0,18.0,0.71,23.5,0.87,bending1,0
20000,45.0,0.0,18.75,0.43,24.5,0.5,bending1,0
20250,45.0,0.0,18.33,0.47,23.67,0.47,bending1,0
20500,45.0,0.0,20.25,0.43,21.0,0.0,bending1,0
20750,45.0,0.0,18.75,0.83,22.0,1.41,bending1,0
21000,45.0,0.0,17.0,0.0,24.0,0.0,bending1,0
21250,45.0,0.0,18.0,0.0,24.0,0.0,bending1,0
21500,45.0,0.0,18.25,0.43,23.5,0.5,bending1,0
21750,45.0,0.0,18.0,0.0,24.0,0.0,bending1,0
22000,45.0,0.0,18.0,0.0,24.0,0.0,bending1,0
22250,45.0,0.0,17.0,0.82,23.67,0.47,bending1,0
22500,45.0,0.0,16.33,0.47,24.33,0.47,bending1,0
22750,45.0,0.0,16.75,0.43,23.75,0.43,bending1,0
23000,45.0,0.0,18.75,0.83,24.0,0.0,bending1,0
23250,45.0,0.0,18.5,0.5,23.75,0.43,bending1,0
23500,45.0,0.0,16.5,0.5,23.33,0.47,bending1,0
24500,45.0,0.0,18.75,1.3,25.0,1.22,bending1,0
24750,45.0,0.0,21.5,1.5,24.0,0.71,bending1,0
25000,45.0,0.0,20.75,1.79,23.25,1.3,bending1,0
25500,45.0,0.0,16.25,3.49,17.75,3.42,bending1,0
25750,45.0,0.0,11.67,2.05,15.0,4.24,bending1,0
26000,45.0,0.0,13.75,1.09,18.25,1.09,bending1,0
